timestamp,open,high,low,close,volume
2012-03-05,70.2600,70.7500,68.3300,68.8200,1666754
2012-03-02,70.8000,71.4100,69.8100,70.4800,1807081
2012-03-01,67.8100,70.9800,67.5200,70.8600,3453144
2012-02-29,67.7400,68.0600,66.9900,67.0200,1443001
2012-02-28,67.3000,67.8400,66.9900,67.7400,1407191
2012-02-27,65.8400,67.5600,65.7500,67.3500,1308649
2012-02-24,66.5500,67.5715,66.1500,66.5900,1223719
2012-02-23,64.9600,67.1300,64.7900,66.7000,1681842
2012-02-22,63.7700,65.3400,63.4900,65.0000,1133439
2012-02-21,65.4900,65.9200,63.9200,64.2600,1157479
2012-02-17,65.8800,65.9900,64.7700,65.0100,1127033
2012-02-16,64.7200,65.8900,64.1510,65.5900,1774558
2012-02-15,65.7800,67.2200,64.6201,64.8700,2450146
2012-02-14,65.4400,65.8900,64.8200,65.3400,1697373
2012-02-13,65.5500,66.0000,65.1800,65.4900,1230788
2012-02-10,64.8900,65.4000,64.5400,65.3300,961353
2012-02-09,64.7900,65.7900,64.3000,65.6600,1693204
2012-02-08,65.2600,65.4500,64.2000,64.7700,1625696
2012-02-07,64.8800,65.3000,64.1800,65.0500,1168471
2012-02-06,64.1500,65.2700,63.7000,64.9400,1325071
2012-02-03,64.4700,64.8192,63.8000,64.5800,1384077
2012-02-02,64.4300,64.5600,63.0100,63.5500,1526665
2012-02-01,63.6100,65.0900,63.1000,63.7600,2436777
2012-01-31,63.6100,63.6700,62.0300,63.1300,1694512
2012-01-30,63.2400,63.8000,62.6800,63.1300,1524667
2012-01-27,62.4900,64.4600,62.4600,64.1200,1578967
2012-01-26,63.1400,64.5100,62.7319,62.9800,2586336
2012-01-25,62.2600,63.7900,61.6700,63.3700,2361031
2012-01-24,61.9200,62.3000,61.3000,62.1800,1617580
2012-01-23,60.0500,62.5800,60.0200,62.4400,3077148
2012-01-20,59.8200,60.3500,59.2300,60.1200,2580889
2012-01-19,60.9300,61.0000,59.8700,60.1400,2491385
2012-01-18,60.9800,60.9800,59.8800,60.5100,2305630
2012-01-17,62.3900,62.6800,60.5500,60.6800,2703063
2012-01-13,61.0600,62.1200,60.7600,61.9600,2814509
2012-01-12,60.1400,61.7300,59.9300,61.2400,3367620
2012-01-11,59.2800,61.3800,58.5000,60.5700,4370980
2012-01-10,59.9900,62.2500,59.1500,59.8700,13782200
2012-01-09,53.1800,54.0800,52.4200,53.4400,2972887
2012-01-06,52.1600,53.9400,51.8000,53.6800,4559636
